Year,Netflix,Amazon Prime,Disney+,Hulu
2014,6.2,,,
2017,6.8,,,
2021,7.0,,,
2018,6.5,,,
2016,5.7,5.7,,
1995,5.8,,,
2014,6.3,6.3,,
2020,6.8,,,
2018,6.6,,,
2019,7.0,,,
2018,6.2,,,
2015,6.9,,,
2018,6.8,,,
2017,6.0,,,
2017,7.8,,,
2014,6.9,,,
2018,7.0,,,
2020,7.8,,,
2017,6.5,,,
2017,6.3,,,
2019,6.3,,,
2006,6.1,,,
2021,6.7,,,
2011,6.4,,,
2018,7.0,,,
2010,6.2,6.2,,
2010,8.2,,,
2016,7.5,7.5,,
2016,6.9,,,
2019,8.0,,,
2006,5.8,,,
2009,6.3,,,
2009,4.7,,,
2020,7.5,,,
2012,6.4,,,6.4
2020,6.7,,,
2018,6.1,,,
1987,7.7,,,
2013,7.9,,,
2017,6.8,,,
2016,6.0,,,
2018,6.3,,,
2019,7.5,,,
2017,7.6,,,
2017,6.1,,,
2020,7.6,,,
2010,5.8,,,
2015,6.0,6.0,,
2019,7.6,,,
2018,6.4,,,
2004,7.9,,,
2020,7.2,,,
2007,7.9,7.9,,
2018,7.5,,,
2015,8.0,,,
2018,6.3,,,
2020,5.2,,,
1988,6.3,,,6.3
2009,6.8,,,
2020,6.0,,,
2020,6.5,,,
2019,6.2,,,
2017,6.3,,,
2016,7.8,,,
2018,9.0,,,
1990,7.7,,,
2018,5.5,,,
2018,5.8,,,
2011,5.5,5.5,,
2004,5.6,,,
2021,7.2,,,
2014,8.3,,,
2012,7.6,,,
2020,6.5,,,
1984,6.7,,,
2017,5.6,,,
1982,7.3,,,
2021,6.3,,,
2018,8.0,,,
2021,8.2,,,
2014,6.7,,,
2021,6.7,,,
2020,6.7,,,
2021,6.5,,,
2018,7.2,,,
2013,6.6,,,
2017,5.8,,,
2020,7.6,,,
2018,6.3,6.3,,6.3
2009,5.9,,,
2016,6.3,,,
2016,6.2,,,
2018,5.2,,,
2014,5.7,,,
2021,6.8,,,
2020,5.8,,,
2016,6.8,,,
2018,7.0,,,
1990,5.9,,,
2006,5.9,5.9,,
2012,8.1,,,
2018,6.7,,,
2014,6.9,,,
